Pos,Team,MP,W,D,L,GF,GA,GD,Pts,Last5,Pts_zscore,GD_zscore,Pts_pct,GD_pct,Strength
1,Arsenal,33,21,7,5,63,26,37,70,"['W', 'W', 'W', 'L', 'L']",1.91,2.1,100.0,100.0,Strong
2,Man City,32,20,7,5,65,29,36,67,"['W', 'D', 'D', 'W', 'W']",1.68,2.04,95.0,95.0,Strong
3,Man United,33,16,10,7,58,45,13,58,"['L', 'W', 'D', 'L', 'W']",1.0,0.74,87.5,90.0,Strong
4,Aston Villa,33,17,7,9,47,41,6,58,"['L', 'L', 'W', 'D', 'W']",1.0,0.34,87.5,72.5,Strong
5,Liverpool,33,16,7,10,54,43,11,55,"['L', 'D', 'L', 'W', 'W']",0.77,0.62,80.0,82.5,Above Average
6,Chelsea,33,13,9,11,53,42,11,48,"['W', 'L', 'L', 'L', 'L']",0.24,0.62,70.0,82.5,Above Average
7,Brentford,33,13,9,11,48,44,4,48,"['D', 'D', 'D', 'D', 'D']",0.24,0.23,70.0,65.0,Above Average
8,Bournemouth,33,11,15,7,50,50,0,48,"['D', 'D', 'D', 'W', 'W']",0.24,0.0,70.0,55.0,Above Average
9,Brighton,33,12,11,10,45,39,6,47,"['L', 'W', 'W', 'W', 'D']",0.17,0.34,57.5,72.5,Above Average
10,Everton,33,13,8,12,40,39,1,47,"['W', 'L', 'W', 'D', 'L']",0.17,0.06,57.5,60.0,Above Average
11,Sunderland,33,12,10,11,36,40,-4,46,"['W', 'L', 'W', 'W', 'L']",0.09,-0.23,50.0,35.0,Above Average
12,Fulham,33,13,6,14,43,46,-3,45,"['L', 'D', 'W', 'L', 'D']",0.02,-0.17,45.0,42.5,Above Average
13,Crystal Palace,31,11,9,11,35,36,-1,42,"['W', 'L', 'W', 'D', 'W']",-0.21,-0.06,37.5,50.0,Average
14,Newcastle,33,12,6,15,46,49,-3,42,"['W', 'W', 'L', 'L', 'L']",-0.21,-0.17,37.5,42.5,Average
15,Leeds,33,9,12,12,42,49,-7,39,"['L', 'D', 'D', 'W', 'W']",-0.44,-0.4,30.0,30.0,Average
16,Nott'm Forest,33,9,9,15,36,45,-9,36,"['D', 'D', 'W', 'D', 'W']",-0.67,-0.51,25.0,25.0,Average
17,West Ham,32,8,8,16,40,57,-17,32,"['L', 'W', 'D', 'L', 'W']",-0.97,-0.97,20.0,15.0,Average
18,Tottenham,33,7,10,16,42,53,-11,31,"['L', 'D', 'L', 'L', 'D']",-1.04,-0.62,15.0,20.0,Weak
19,Burnley,33,4,8,21,34,67,-33,20,"['L', 'D', 'L', 'L', 'L']",-1.88,-1.87,10.0,10.0,Weak
20,Wolves,33,3,8,22,24,61,-37,17,"['W', 'W', 'D', 'L', 'L']",-2.1,-2.1,5.0,5.0,Weak
